task_index,task_name,duration,task_type,start_trigger,end_trigger,task_parameters
1,Acquisition Start,0.1,acq_start,128,129,
2,StillFace,120,stillface,130,131,"{'filename': 'stillface-', 'condition': 'engagement', 'stillface_time': 120}"
3,StillFace,120,stillface,132,133,"{'filename': 'stillface-', 'condition': 'still', 'stillface_time': 120}"
4,StillFace,120,stillface,134,135,"{'filename': 'stillface-', 'condition': 'reengagement', 'stillface_time': 120}"
5,Wait 1,0,wait,136,137,
6,RaceFace,40,raceface,138,139,"{'filename': 'raceface-', 'race_condition': 'black', 'n_files': 26, 'total_time': 40, 'facepresent_time': 10}"
7,RaceFace,40,raceface,140,141,"{'filename': 'raceface-', 'race_condition': 'white', 'n_files': 17, 'total_time': 40, 'facepresent_time': 10}"
8,RaceFace,40,raceface,142,143,"{'filename': 'raceface-', 'race_condition': 'hisp_asian', 'n_files': 27, 'total_time': 40, 'facepresent_time': 10}"
9,RaceFace,40,raceface,144,145,"{'filename': 'raceface-', 'race_condition': 'black', 'n_files': 26, 'total_time': 40, 'facepresent_time': 10}"
10,RaceFace,40,raceface,146,147,"{'filename': 'raceface-', 'race_condition': 'white', 'n_files': 17, 'total_time': 40, 'facepresent_time': 10}"
11,RaceFace,40,raceface,148,149,"{'filename': 'raceface-', 'race_condition': 'hisp_asian', 'n_files': 27, 'total_time': 40, 'facepresent_time': 10}"
12,Wait 2,0,wait,150,151,
13,CyberBall Practice,100,cyberball_practice,152,153,"{'filename': 'cyberball-', 'block_threshold': .8, 'cb_throws': 10}"
14,CyberBall,60,cyberball,154,155,"{'filename': 'cyberball-', 'block_threshold': .67, 'cb_throws': 40}"
15,CyberBall,60,cyberball,156,157,"{'filename': 'cyberball-', 'block_threshold': .33, 'cb_throws': 40}"
16,CyberBall,60,cyberball,158,159,"{'filename': 'cyberball-', 'block_threshold': .20, 'cb_throws': 40}"
17,Wait 3,10,wait,160,161,
18,Acquisition End,0.1,acq_end,162,163,
